#,subj_id,obj_id,class,conf,subj_coordinates,obj_coordinates,subj_center,obj_center,Distance,file
0,lamp,desk,ON,0.0177615899592638,"(-0.0, 0.0, 0)","(-1013.4011576374371, -543.0009328614384, 1603)","(414.5843563079834, 463.7507801055908)","[77.04459381103516, 665.3765258789062, 629.14990234375, 1061.242919921875]",1972.6735460763116,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
1,desk,room,IN,0.015237774699926376,"(0.0, -0.0, 0)","(5.551052868366241, -13.56731534860142, 6140)","(1217.6036987304688, 861.3916625976562)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",6140.017498854031,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
2,man,hat,WEARING,0.012746823020279408,"(-1396.316391913096, -469.03744115344733, 2822)","(-57.85825634002685, -5.844857651359609, 115)","(484.99513244628906, 698.6361694335938)","[430.34619140625, 569.6834106445312, 523.6724853515625, 607.3358154296875]",3055.1377301347766,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
3,lamp,table,ON,0.010729368776082993,"(-0.0, 0.0, 0)","(-835.9769894679387, -563.6954735526145, 1475)","(414.5843563079834, 463.7507801055908)","[207.7923126220703, 799.4327392578125, 624.0206909179688, 1010.082275390625]",1786.6827121298243,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
4,man,shirt,WEARING,0.009848464280366898,"(-1396.316391913096, -469.03744115344733, 2822)","(-1361.043528652191, -512.3546086422346, 2846)","(484.99513244628906, 698.6361694335938)","[425.3799743652344, 625.3859252929688, 576.4177856445312, 798.2649536132812]",60.79927534004114,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
5,lamp,desk,ON,0.009517091326415539,"(-0.0, 0.0, 0)","(-834.4618914922078, -610.3095825691516, 1460)","(414.5843563079834, 463.7507801055908)","[208.14743041992188, 805.5457763671875, 614.47802734375, 1072.410400390625]",1788.9674214273678,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
6,desk,room,IN,0.00922707561403513,"(-1013.4011576374371, -543.0009328614384, 1603)","(5.551052868366241, -13.56731534860142, 6140)","(353.0972480773926, 863.3097229003906)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",4680.056897372871,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
7,lamp,desk,ON,0.009092085063457489,"(600.8529981613159, 91.656368567862, 6407)","(-574.1463528951008, -483.6039425553143, 1724)","(1050.0294799804688, 526.3460083007812)","[106.6060791015625, 549.2308959960938, 1173.973388671875, 1066.238037109375]",4862.307775175954,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
8,lamp,desk,ON,0.007759489119052887,"(-0.0, 0.0, 0)","(-574.1463528951008, -483.6039425553143, 1724)","(414.5843563079834, 463.7507801055908)","[106.6060791015625, 549.2308959960938, 1173.973388671875, 1066.238037109375]",1880.3438004252812,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
9,table,room,IN,0.006998054217547178,"(1618.8049386342364, -1178.8017566422095, 2894)","(5.551052868366241, -13.56731534860142, 6140)","(1496.9912719726562, 928.7710876464844)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",3807.476251155811,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
10,lamp,table,ON,0.006666962057352066,"(-0.0, 0.0, 0)","(-957.3509716987609, -530.7945017176382, 1550)","(414.5843563079834, 463.7507801055908)","[75.39974975585938, 670.3486328125, 658.7203369140625, 1063.3482666015625]",1897.5678343780592,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
11,man,room,IN,0.006626495160162449,"(-1396.316391913096, -469.03744115344733, 2822)","(5.551052868366241, -13.56731534860142, 6140)","(484.99513244628906, 698.6361694335938)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",3630.6761585466124,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
12,table,room,IN,0.006011264398694038,"(0.0, -0.0, 0)","(5.551052868366241, -13.56731534860142, 6140)","(1737.9556274414062, 918.2864074707031)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",6140.017498854031,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
13,table,room,IN,0.005792823154479265,"(0.0, -0.0, 0)","(5.551052868366241, -13.56731534860142, 6140)","(1457.4949951171875, 715.9396057128906)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",6140.017498854031,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
14,desk,room,IN,0.005515123251825571,"(-574.1463528951008, -483.6039425553143, 1724)","(5.551052868366241, -13.56731534860142, 6140)","(640.2897338867188, 807.7344665527344)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",4478.62026891818,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
15,man,table,AT,0.005296400748193264,"(-1396.316391913096, -469.03744115344733, 2822)","(-835.9769894679387, -563.6954735526145, 1475)","(484.99513244628906, 698.6361694335938)","[207.7923126220703, 799.4327392578125, 624.0206909179688, 1010.082275390625]",1461.9676429491446,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
16,screen,desk,ON,0.005065033212304115,"(0.0, -0.0, 0)","(0.0, -0.0, 0)","(1129.6180419921875, 627.8833923339844)","[912.391845703125, 644.7049560546875, 1522.8155517578125, 1078.078369140625]",0.0,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
17,table,room,IN,0.005027365405112505,"(117.4149225870768, -85.91272017153494, 272)","(5.551052868366241, -13.56731534860142, 6140)","(1374.4056091308594, 841.4673461914062)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",5869.512022557535,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
18,railing,room,IN,0.005015608388930559,"(0.0, -0.0, 0)","(5.551052868366241, -13.56731534860142, 6140)","(1515.061279296875, 558.3158721923828)","[15.565057754516602, 6.139637470245361, 1906.1707763671875, 1078.078369140625]",6140.017498854031,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
19,man,chair,SITTING_ON,0.004641298670321703,"(-1396.316391913096, -469.03744115344733, 2822)","(-655.0176834106445, -488.5864032386675, 1547)","(484.99513244628906, 698.6361694335938)","[493.81005859375, 798.9593505859375, 613.23974609375, 883.9232788085938]",1474.9681139421325,/workspaces/sg_benchmark/data/input/RGBD/CITA/2021-11-01 14꞉03꞉53 c.jpg
